Field,Search Parameter,Type,Available Tags / Parameters,More Info
TOR,first_seen,date,,
TOR,hostname,string,,
TOR,last_seen,string,,
TOR,platform,string,,
TOR,router_name,string,,
MongoDB,mongodb.ismaster,boolean,,
MongoDB,mongodb.listDatabases,string,,
MongoDB,mongodb.names,string,,
MongoDB,mongodb.readonly,boolean,,
MongoDB,mongodb.serverInfo,string,,
MongoDB,mongodb.totalSize,int,,
MongoDB,mongodb.version,string,,https://docs.mongodb.com/manual/
ElasticSearch,elasticsearch.build,string,,https://www.elastic.co/guide/index.html
ElasticSearch,elasticsearch.build_flavor,string,,
ElasticSearch,elasticsearch.build_hash,string,,
ElasticSearch,elasticsearch.build_type,string,,
ElasticSearch,elasticsearch.cluster_name,string,,
ElasticSearch,elasticsearch.cluster_nodes,int,,
ElasticSearch,elasticsearch.hostname,string,,
ElasticSearch,elasticsearch.name,string,,
ElasticSearch,elasticsearch.node_name,string,,
ElasticSearch,elasticsearch.version,string,,
ElasticSearch,elasticsearch.docs,int,,number of documents
ElasticSearch,elasticsearch.indices,string,,name of indices
ElasticSearch,elasticsearch.indices_raw,string,,
ElasticSearch,elasticsearch.jvm.version,string,,
ElasticSearch,elasticsearch.jvm.vm_name,string,,
ElasticSearch,elasticsearch.jvm.vm_vendor,string,,
ElasticSearch,elasticsearch.jvm.vm_version,string,,
ElasticSearch,elasticsearch.modules,string,,
ElasticSearch,elasticsearch.os.arch,string,,
ElasticSearch,elasticsearch.os.cpu.model,string,,
ElasticSearch,elasticsearch.os.cpu.vendor,string,,
ElasticSearch,elasticsearch.os.name,string,,
ElasticSearch,elasticsearch.os.pretty_name,string,,
ElasticSearch,elasticsearch.os.version,string,,
ElasticSearch,elasticsearch.ostype,string,,
ElasticSearch,elasticsearch.plugins,string,,
ElasticSearch,elasticsearch.roles,string,,
ElasticSearch,elasticsearch.settings,string,,
ElasticSearch,elasticsearch.size_in_bytes,int,,
ElasticSearch,elasticsearch.total_indexing_buffer,int,,
Cassandra,cassandra.cluster,string,,
Cassandra,cassandra.cluster_name,string,,
Cassandra,cassandra.datacenter,string,,
Cassandra,cassandra.dse,boolean,,
Cassandra,cassandra.dse_version,string,,
Cassandra,cassandra.cql_version,string,,
Cassandra,cassandra.rack,string,,
Cassandra,cassandra.version,string,,https://cassandra.apache.org/doc/latest/
Cassandra,cassandra.thrift_version,string,,
Cassandra,cassandra.keyspaces,string,,
Cassandra,cassandra.keyspace_names,string,,
Cassandra,cassandra.table_names,string,,
Redis,redis.aof_base_size,string,,
Redis,redis.aof_current_size,string,,
Redis,redis.aof_enabled,int,,
Redis,redis.arch_bits,int,,
Redis,redis.atomicvar_api,string,,
Redis,redis.auth_not_required,string,,
Redis,redis.cluster_enabled,string,,
Redis,redis.connected_slaves,int,,
Redis,redis.databases,string,,
Redis,redis.dbs,int,,
Redis,redis.keys,int,,
Redis,redis.maxmemory,string,,
Redis,redis.maxmemory_human,string,,
Redis,redis.maxmemory_policy,string,,
Redis,redis.multiplexing_api,string,,
Redis,redis.nodecount,string,,
Redis,redis.os,string,,
Redis,redis.redis_build_id,string,,
Redis,redis.redis_mode,string,,
Redis,redis.redis_version,string,,
Redis,redis.repl_backlog_size,string,,
Redis,redis.repl_sync_enabled,string,,
Redis,redis.role,string,,
Redis,redis.ssl_enabled,string,,
Redis,redis.ssl_protocols,string,,
Redis,redis.stats,string,,
Redis,redis.uptime_in_days,int,,
Redis,redis.uptime_in_seconds,int,,
Redis,redis.used_memory,int,,
Redis,redis.used_memory_dataset,string,,
Redis,redis.used_memory_human,string,,
Redis,redis.used_memory_lua,int,,
Redis,redis.used_memory_lua_human,string,,
Redis,redis.used_memory_overhead,string,,
Redis,redis.used_memory_peak,int,,
Redis,redis.used_memory_peak_human,string,,
Redis,redis.used_memory_rss,int,,
Redis,redis.used_memory_rss_human,string,,
Redis,redis.used_memory_scripts,string,,
Redis,redis.used_memory_scripts_human,string,,
Redis,redis.used_memory_startup,string,,
Redis,redis.versions,int,,https://redis.io/documentation
Memcached,memcached.app_impl_used,string,,
Memcached,memcached.app_version,string,,
Memcached,memcached.bytes,int,,
Memcached,memcached.commandargs,string,,
Memcached,memcached.current_bytes,int,,
Memcached,memcached.db_count,int,,
Memcached,memcached.db_size,int,,
Memcached,memcached.engine_maxbytes,int,,
Memcached,memcached.free_bytes,int,,
Memcached,memcached.ibuffer_size,int,,
Memcached,memcached.local,string,,
Memcached,memcached.memcached_version,string,,
Memcached,memcached.num_servers,int,,
Memcached,memcached.num_suspect_servers,int,,
Memcached,memcached.peer,string,,
Memcached,memcached.pointer_size,int,,
Memcached,memcached.rep_conn_on,string,,
Memcached,memcached.rep_state,string,,
Memcached,memcached.replication,string,,
Memcached,memcached.server,string,,
Memcached,memcached.tcp_nodelay,string,,
Memcached,memcached.total_items,int,,
Memcached,memcached.uptime,int,,
Memcached,memcached.version,string,,https://github.com/memcached/memcached/wiki/Overview
RethinkDB,rethinkdb.database_names,string,,https://rethinkdb.com/docs
RethinkDB,rethinkdb.tables_names,string,,
